text,classes
"এতো সুন্দর নাটক আমাদের দেশে হয়েছিল,,, না দেখলে বিশ্বাস করতে পারতাম না,,,এই প্রথম দেখলাম।",joy
"আমি এই প্রজন্মের।কিন্তু বিশ্বাস করুন আমি আমার প্রজন্মের নাটক দেখা বন্ধ করে দিয়েছি।অতিরিক্ত ভাঁড়ামো,অশ্লীল সংলাপ আর রোমান্টিক প্যাচপাচানি বিরক্ত করে তোলে এই প্রজন্মের নাটক গুলো।তাই আমি হুমায়ুন স্যার,বৃন্দাবন দাসদের নাটকই বেছে নিয়েছি নিজের বিনোদন হিসাবে",disgust
"এই বহুব্রীহি নাটক তো বাদ যেতনা,প্রতিটা পর্ব দেখেছি।",joy
"হুমায়ুন আহমেদ স্যার এর কালজয়ী সব নাটকের মধ্যে উড়ে যায় বকপহ্মী, আজ রবিবার,নহ্মত্রের রাত দেখা শেষ, এছাড়া আরো অনেক হ্মুদ্র নাটক দেখেছি।এখন শুরু করলাম বহুব্রীহি। ",joy
"আগের দিনের বাংলাদেশ এখনকার ইউরোপ এর মত মনে হয় আমার কাছে, সবকিছুর একেকটা নিয়ম দেখতে পাই এই নাটক গুলোতে এত সুন্দর সাজানো গোছানো ছিল আগের সময় টা",joy
আহা সোনালী দিনের নাটকগুলি কতই না সুন্দর ছিল দেখার জন্য বসে থাকতাম সপ্তাহের পর সপ্তাহ,joy
বহুব্রীহি আজকে থেকে আবার দেখা শুরু করলাম হুমায়ূন আহমেদ এর নাটকগুলা ড্রাগের মতো একদম,joy
মই ১০/১২ বছৰ মানৰ আছিলো যেতিয়া এই নাটক খন বাংলাদেশ টেলিভিচনত সম্প্ৰচাৰিত হৈছিল৷ ১৯৮৭/৮৮ মানৰ কথা হব৷ মই ভাৰতীয় ৷ কিন্ত মোৰ চহৰ খন বাংলাদেশ সীমাত পৰে৷ বাংলা ভালকৈ বুজি পাওঁ৷ বাংলাদেশ টেলিভিচনৰ সম্প্ৰচাৰ আমাৰ অঞ্চলত আগৰদিনৰ দীঘল এনটিনা লগাই সুন্দৰকৈ উপভোগ কৰিছিলো৷ সেই সময়ৰ বিটিভিৰ অনুস্থান বোৰ বৰ উচ্চ মানৰ আছিল৷ 'ধীমান' নামৰ আন এটা কুইজৰ অনুস্থান আমাৰ বৰ প্ৰিয় আছিল৷ ১৯৯২/৯৩ মানৰ পৰা বটিভি চোৱাতো কমি আহিল৷ আগৰ সেই প্ৰকাণ্ড এনটিনা বোৰো নাইকিয়া হল৷ বহুবছৰ পাছত পুৰণা স্মৃতি ঘূৰাই পাই অতি আনন্দিত৷ ধন্যবাদ থাকিল৷,joy
"কি নাটক আর অভিনয় রে বাবা, দেখলে শুধু দেখতেই মন চাই।",joy
"আম এর ব্যাপার খুবই হাস্যকর ছিল,,, হুমায়ুন আহমেদ এর বেশ কয়েকটা নাটক দেখে অন্য কারোর নাটক দেখার রুচি থাকে না,,,আসাদুজ্জামান নুর এর অভিনয় টা অসাধারণ",joy
রসিকতার ছলে হুমায়ুন আহম্মদ অনেক অপ্রিয় সত্য কথা অকপটে বলে গেলেও আমরা হয়ত তা অনুধাবন করতে পারিনি ।যেমন স্বাধীনতা যুদ্ধের ইতিহাস ,sadness
"১০০ বছর পরও মানুষ এই নাটক দেখতে আসবে।না এসে উপায় নাই। কারণ একমাত্র হুমায়ুন আহমেদ ই আছেন, যিনি কিনা হাস্যরসের মাধ্যমে সমাজের দোষ ত্রুটি প্রদর্শন করতে পারেন।",surprise
"কি অসাধারণ অভিনয় ছিল তাদের প্রতেকের!!আর এখনের অভিনয় শিল্পীদের অভিনয় দেখলে(অল্পকিছু ছাড়া) বিরক্ত লাগে।খুব ভালো লাগলো আগের দিনের নাটক,নাটকের পুরনো কালের গ্রাম ও শহরের দৃশ্যগুলো দেখলে মন ভরে যায়মনে হয় কেন এতো আধুনিক পৃথিবী হচ্ছে!কতোই না সুন্দর ছিল ৯০,৮০ বা তারও আগের দশকগুলোআমার দেখা ৯০ দশকের দিন গুলোতে আবার ফিরে যেতে ইচ্ছে হয়",disgust
"এমন একটি উদ্যোগের জন্য বিটিভিকে জানাই আন্তরিক ধন্যবাদ। তবে একই সাথে প্রতিটি পর্বের কাটাছেঁড়া অংশ মনে হতাশার জন্ম দেয়। বুঝতে পারি, অংশটি নষ্ট হয়ে গেছে। এমন মাস্টারপিস জিনিসগুলো কতটা অবহেলায় থাকলে এগুলোর এই দশা হয়, সেটা ভেবে রাগও লাগে। উত্তম কুমারের ১৯৫০ এর ছবিও এখনো ঝকঝকে, অথচ ৮০র দশকের এই নাটকগুলোর কী হাল করেছেন আপনারা। সত্যিই বিচিত্র ঔদাসীন্য আমাদের। জাতিগতভাবেই আমরা কেয়ারলেসলি ইউজলেস। এভাবে বলার জন্য দুঃখিত। কিন্তু হুমায়ুন আহমেদের এই বিরল সম্পদের যে অবহেলা আপনাদের হাতে হয়েছে, এটা মেনে নেওয়া যায় না। এগুলো যথার্থই সম্পদ ছিলো। আহ।",disgust
এই নাটক গুলো দেখার পর বর্তমানের শুধু নায়ক এবং নায়িকার প্রেম নেকামো নাটক জাস্ট অখাদ্য অশ্লীল লাগে।,disgust
জনগণের ক্রিটিকাল থিংকিং এবিলিটি প্রয়োজনীয়তার তলানিরও নিচে। আই ওয়াশ আর সার্কাজমে এরা বেশি উৎসাহী।,disgust
উন্নয়নের গল্প শুনাইতে আসেনাই কেই এখনো আপনাকে? কেউ এখনো পদ্মা সেতুর খাম্বা খাইতে বলে নাই।,disgust
বারী স্যার আর নাই  !! আল্লাহ্‌ ওনাকে জান্নাতুল ফেরদাউস দান করুন  ।,sadness
"একদম একদম সত্যি কথা। এইটা খুব কষ্টকর। জাস্ট এই ফিল টা যদি সবাই নিতো,বাংলাদেশটা সোনার বাংলা হয়ে যেতো।",sadness
"শ্রীলংকা সরকার বিভিন্ন ধরনের কঠোর পদক্ষেপ নিয়ে জনগণের অসন্তোষকে সাময়িকভাবে থামাতে পারবে, কিন্তু সমস্যার সমাধান না হলে তা আবার বিস্ফোরিত হবে তখন আর তা থামানো সম্ভব হবে না। শ্রীলঙ্কা সরকারের ব্যর্থতার কারণে সম্ভাবনাময় দেশটি আজ দেউলিয়ার দ্বারপ্রান্তে। শ্রীলংকার এই তীব্র অর্থনৈতিক সংকট দেশের সর্বস্তরের জনগণকে আক্রান্ত করেছে। এই সংকট থেকে মুক্তি পেতে শ্রীলঙ্কাকে দীর্ঘ জটিল পথ পাড়ি দিতে হবে।",fear
"মার থেকে মাসীর দরদ বেশি হলে এটাই হয় , বেশি চাইনা চাটা হয়ে গেছিলো এখন বোঝ । দেখ কেমন লাগে",anger
"দুবাই, সিঙ্গাপুরকে ছাড়িয়ে অতিরিক্ত উন্নয়নের ফলাফল। আয়ের চেয়ে ব্যয় বেশি হলে, ঋন বেশী হলে এমন হওয়াটাই স্বাভাবিক",disgust
"বাংলাদেশের সময় ঘনিয়ে আসছে।
বেশিদিন দেরি নাই।",fear
"সমৃদ্ধ একটা দেশ , আন্তর্জাতিক পলিটিক্সের কারণে ধবংস হতে চলেছে",sadness
"যেহেতু আমাদের অর্থনীতি রেমিট্যান্স ও গার্মেন্টস নির্ভরশীল সুতরাং শ্রীলঙ্কার এই করুণ পরিনতি থেকে বাংলাদেশ কে আগাম সতর্কতা অবলম্বন ও শিক্ষা গ্রহণ করা উচিৎ।
",fear
ভালো নেত্রীত্ব দেশের উন্নয়ন সমৃদ্ধি আনতে পারে। শ্রীলঙ্কার এই পরিস্থিতি জন্য ক্ষমতাসীনরা দায়ী।,anger
এমন দমন পীড়ণ করে কি দূর্ভিক্ষ আর জন অসন্তোষ সামাল দেয়া যাবে! ক্ষুধার্ত মানুষের ক্ষোভের বহিঃপ্রকাশ কোনো কিছু দিয়েই শান্ত রাখা যায় না।,anger
৫ থেকে ৬ ঘন্টা দীর্ঘলাইনে দাঁড়িয়েও অধিকাংশ মানুষকেই ফিরতে হচ্ছে খালি হাতে,fear
দেশ যখন মানুষরুপী শুয়োরেরা চালায়।,anger
"আমার কাছে মনে হয় এ ঘটনার পিছনে অন্য ঘটনা থাকতে পারে, এই অভিযোগের সুষ্ঠু তদন্ত হওয়া উচিত এবং প্রকৃত অপরাধীকে কঠোর শাস্তি দেওয়া উচিৎ",fear
"আশ্চর্য!এই সামান্য কথাতেই থানায় ডাইরি..?
তার অন্তরালে কোনো কিছু লুকানো আছে এই বিষয়টি ভালো করে খতিয়ে দেখা উচিত।",surprise
হয়তো ভাইরাল হওয়ার ক্ষুদ্র প্রচেষ্ঠা,disgust
এটা মিথ্যা অভিযোগ ছাড়া কিছুই নয়!! নিশ্চয়ই কাউকে ফাঁসাতে ষড়যন্ত্র চলছে,fear
"কঠোর নিন্দা জানাই এবং এর বিচারের দাবি জানাচ্ছি
",anger
আইনের আওতায় এনে চাকরি থেকে বরখাস্ত করা হউক,anger
"কিচ্ছু হবে না।পুলিশের শাস্তি বদলি, না হয় প্রত্যাহার। সরকার পুলিশের ভয় পায়।",fear
"এগুলো ইচ্ছেকৃত একটা ইসু তৈরি করা। দুই কৃষকের আত্মহত্যা, দেশের বিরোধী দলগুলোর আন্দোলন ও দ্রব্য মূল্যের উর্ধ্বগতি ধামাচাপা দিতে, জনগণ ও মিডিয়ার নজর অন্যদিকে মুভ করানোই মূল উদ্দেশ্যে কিছু দিন পরপর একটা ঘটনা ঘটানো হচ্ছে ।
এই যুগে এসে মানুষ এতো বোকা নাই এখন আর",disgust
"ওই পুলিশ সদস্যকে ডপ টেস্ট করানো হোক
তাহলে এত উত্তেজিত হবার কারণ জানা যাবে",anger
কোন পুলিশ সদস্য এ রকম ফালতু বিষয়ে নাকগলিয়ে নিজের বিপদ ডেকে আনবে বলে মনে হয় না! তবে যদি সত্যি এমন হয়ে থাকে তাহলে তা নিন্দনীয়!,anger
দেশে হিন্দু মুসলিমদের দাঙ্গা লাগানোর চেষ্টা চলছে।,fear
"নিজের গায়ে চিমটি লাগলে ব্যথা লাগে ,অপরের গায়ে চিমটি দিলে ব্যথা লাগেনা",disgust
এ ঘটনার পিছনে হয়তো অন্য কোন ঘটনা আছে নয়তো মহিলা ভাইরাল হতে চায়।,fear
"ঘটনার সত্যতা সঠিক ভাবে যাচাই করা হোক,,বিষয়টা অন্য কিছুতো হতে পারে,,,",fear
পুলিশের কাছেও নারীরা নিরাপদ নয়,sadness
এরা জন্মগত ভাবেই ইতর তাই আত্মহত্যার পথ বেছে নেয়,anger
বাঙালি যত নিজের কালচার থেকে সরে সরে গিয়ে যত ওই পশ্চিমা বস্তাপঁচা কালচার আমদানি করবে তত আরও ভয়াবহ পরিস্থিতি দেখতে হবে।,fear
"একজন সন্তানের বাবা হিসেবে মনে করি মেয়েটার মনে অনেক অভিমান জমেছিল, যা চাইলেই ঠিক করা যেতো একটু ভালোবাসা স্নেহ দিয়ে। আফসোস মেয়েটা মা বাবা ভাইয়ের এই কথা সবার আগে জানার কথা ছিলো কিন্তু তারা বুঝলোই না।",sadness
সব বাচ্চারা সেইম নয় । মানসিক চাপ নেওয়ার মতন অবস্থাও সব বাচ্চাদের থাকেনা ।,sadness
আরেহ্ হাতের পাঁচ আঙ্গুল সমান হবে না । আমরা বড় মানুষরাও তো নানা মানসিক চাপে মুষড়ে পরি । ,surprise
শুধু একতরফা ভাবে সন্তান কে দোষারোপ বন্ধ করুন ।,disgust
সকলেরি ই সমস্যা থাকবে তাই বলে মরতে হবে এটা কোন সমাধান না।,surprise
"যে সুইসাইড করে বা করতে চায়, সে সাইকোলজিক্যাললি অসুস্থ,
আর এই সব অসুস্থ গুলারে যারা সাপোর্ট করে তারা হচ্ছে পটেনশিয়াল সাইকো",anger
"এডমিন  কেমনে এটারে সাপোর্ট করলো?
এই মানুষ গুলা আবার বিশাল বড় পোস্ট দেয়, "" হাজারো কস্ট, বাধা পেরিয়ে মফিজ অসম্ভব কে জয়ী করেছে""
মফিজ এই হাজার বাধা দেখে কেনো সুইসাইড করলো না?
এই ডাবল স্ট্যান্ডার্ড মানুষ গুলাও পারে, এডমিন  প্যানেল কারে দিয়ে এই লিখা লেখায়?",anger
"এই বয়স তো আমরাও পার করে এসেছি,এর থেকে বড় ঝামেলা আমাদের হইছে। আর বর্তমানের পোলাপান গুলারে তো বাপ মা অনেক আদর করে মেবি এটাই সমস্যা।",disgust
সুইসাইড করাকে জাস্টিফাই করছেন?!,surprise
ক্লাস ১০ এ পড়া একটা ছেলে বা মেয়ে দুনিয়ার কি বুঝে?,disgust
"পুরাই বোকামি, এই পৃথিবিতে সম্যসা নাই এমন কোন মানুষ নাই। সকলেরি ই সমস্যা থাকবে তাই বলে মরতে হবে এটা কোন সমাধান না।",disgust
প্যারেন্টিং না জেনেই শুধু চাপ প্রয়োগেই সব হবেনা । এইটুকু তো বুঝুন ।,surprise
"আমার অনেক বন্ধু-বান্ধব আছে আনন্দমোহন কলেজে পড়ে
তাদের বাবা তাদেরকে স্বাধীনতা দিয়েছে লেখাপড়ার জন্য এবং একটা পূর্ণাঙ্গ স্বাধীনতা পেয়েছে এখানে,
কিন্তু এই স্বাধীনতা কি হলো ভালোর চেয়ে খারাপের দিকে বেশি যায়,",fear
"এইসব দেশগুলো ধ্বংস করে সেইসব দেশের জনগণের দরিদ্ররা সুযোগ নিয়ে তাদের দিয়ে ধ্বংসলীলা ঘটাবে এবং পরে আমেরিকার মত তালেবান সৃষ্টি করে তাদের সন্ত্রাসবাদী আখ্যা দিয়ে হত্যা করবে।
",fear
"বিশ্ব রাজনী'তিতে আমে'রিকার অবস্থান সব সময় প্রথম দিকে ছিল বিধায়, পৃথিবীর অর্থনীতি আমে'রিকা কে কেন্দ্র করে আবর্তিত হত, আমে'রিকা তাদের ইচ্ছামতো স্বার্থ অনুযায়ী যখন যে দেশকে অব'রোধ দেওয়ার দরকার তা তারা দিত, এই ইউ'ক্রেন রাশি'য়া যু'দ্ধ, হয়তো সেই প্রভাব বলয় কিছুটা ভাঙতে সক্ষম হবে , যা আদতে পুরো বিশ্ববাসীর জন্য ভবিষ্যতে সুফল বয়ে আনবে",joy
মধ্যপ্রাচ্যের এই পরিস্থিতির জন্য পশ্চিমা বিশ্ব দায়ী! তাদের অর্থনৈতিক আগ্রাসনের শিকার এসব দেশ! নিজেদের কতৃত্ববাদ প্রতিষ্ঠা করার জন্য মধ্যপ্রাচ্যে তাদের নগ্ন হস্তক্ষেপের কারণে আজ এই অর্থনৈতিক দুরবস্থা!,disgust
যুদ্ধ কখনো শান্তি বয়ে আনতে পারে না পৃথিবীতে তাই স্লোগান একটাই হোক যুদ্ধ চাই না শান্তি চাই পৃথিবীতে,joy
এক সময়ের ধনী সিরিয়ানরা এখন টাকার জন্য ভা*ড়াটে যুদ্ধা হিসেবে ই*উক্রেনে যু*দ্ধ করছে।,sadness
"যে কোনো যুদ্ধ মানব সমাজের ধ্বংস।কিন্তু চোখ দিয়ে অশ্রু আসেনা, কারণ ইরাক সিরিয়া আফগানিস্তান ফিলিস্তিন, এদের কান্না দেখে আমারও চোখের অশ্রুু প্রায় শেষ হয়ে গেছে।",sadness
যুদ্ধাপরাধীদের বিচার হওয়া উচিৎ। পুতিন কে ক্ষমতা ছেড়ে দেয়া উচিৎ,disgust
"যুদ্ধেতো ধ্বংসযজ্ঞ হবেই, ফুলের বাগান করার জন্যতো আর কেউ যুদ্ধ করে না।",disgust
পবিত্র এই মাহে রমজান মাসে আল্লাহ তায়ালা সকল যুদ্ধ বিদ্রোহ কে থামিয়ে দেন আবার পুনরায় শান্তি ফিরিয়ে দিন আল্লাহ তায়ালার নিকট এই কামনা করি।,fear
মানবতা নিভৃতে কাঁদে,sadness
আর কতো যুদ্ধ,sadness
অথচ ইসরাইলী দখলদার বাহিনীর ফিলি*স্তিনে হামলার পর এমন আবেগীয় নিউজ প্রচার করা দেখলাম না।। এটাই বর্ণবাদ বৈষম্য,disgust
শালার বিবিসি প্রপাগন্ডা ছড়াচ্ছে,anger
পশ্চিমা মিডিয়া গুলো পশ্চিমা নেতাদের মতই বাদুড় অর্থাৎ এক মুখ দিয়েই দুই কাজ সাড়ে,anger
আরো কত কিছু দেখতে পাবে?,fear
"এরাই বলে ছিলো ইরাকের কাছে পারমাণবিক অস্ত্র আছে? আরো কত কিছু,,,,,",disgust
পুতিন সময়ের সেরা এক নায়ক,joy
যাদের তেল নিয়ে এতো দৌড়াদৌড়ি এতো সীমাবদ্ধতা তারা কোন খুটির জোরে এতো নিষেধাজ্ঞার অস্র দেখায়!,surprise
নাইমা কি করবেন আমরা জানি,sadness
ভাই সব আপনাদের খুব ভাল লাগছে,joy
গাঞ্জা খাইয়া নিউজ শেয়ার করছে দিগন্ত  বয়কটে কোনো জরিমানা হয় না  ,anger
অনেক ধন্যবাদ স্যার যশোরে ইত্যাদি অনুষ্ঠান করার জন্য,joy
বর্তমানে মুসলমান মারে যে জন সে জন হয়েছে ঈশ্বর,disgust
খালেদাজিয়া মাঠে নামলে তাঁর পায়ে গুলী করে চিরদিনের জন্য পঙু করে দেয়া হবে  জয়বাংলা,anger
তামিম ভাই তোমাকে ধন্যবাদ  ,joy
কৃষ্ণর কন্ডম ফাটা বাচ্চা মালু,disgust
আপনি নামে প্রধান  কাজে জিরু,disgust
 এ একটা জোস জিনিশ বার করল          এর মাঝামাঝি  নয় কড়া নয় নয় হালকা  প্রথম দিনেই দিওয়ানা হয় পরলাম  যায় হোক আমার ভাল্লাগসে ,joy
জানোয়ারেরা বল এটাও মিথ্যা সংবাদ ,disgust
এই শালীরে কেউ পাবনাখানায় ভর্তি করুন নতুবা রেন্ডিয়ায় পাটিয়ে দিন নতুবা গণধোলাই দিন ,anger
ওরে শালার ফরমালিন গুগল ও বের হয়ে গেছে,anger
হারে আর জয়ে সাহসে অথবা ভয়ে আছি সব সময়ে  পরের ম্যাচের জন্য শুভ কামনা ,joy
ছাত্র লীগ করছে তাই অসুবিধা নাই,disgust
খালেদার কথা শোনে হাসতে মন চায়,joy
সাকিব ভাই আমি ঢাকা বরিশাল বুঝি না   আমি চাই তুমি ভাল খেল  কারন আমি তোমার জন্য ঢাকা নিয়েছি   আর সবসময় নেব  ,joy
আসলেই ভারতীওরা ব্যাপক বিনোদন দেয় ,surprise
আর লোক খুঁজে পেলেন না ,disgust
আবার যখন ঐ দুধের বাচ্চারা আপেল কাটার ছুরি দিয়ে বিদেশীদের গলা কেটে তখন বলে পুলিশ কেন আগে যেতে পারলো না কেন উদ্ধার করতে পারলো না ,sadness
তোমাদের ঋণ শোধ করা যাবেনা  হাজার বছর বেঁচে থাকার জন্য দোয়া রইলো,joy
দীর্ঘ সাড়ে তিন বৎসর কারাভোগের পর অবশেষে জামিনে মুক্তি মিললো,joy
তুমি যে পন্যের এড করবে আমরা সেই পন্য বর্জন করবো তোমার সাথে কোঃপানির গুয়াই বাঁশ কুততা সালা  ,anger
যারা গণতন্ত্র গণতন্ত্র বলে মুখে ফেনা তুলে কিন্তু বাস্তবে জোরকরে সীল মারে এসকল দালালদের মুখে লাথিমারি,anger
সেই ভাই ,joy
বাপ কা বেটা  গাজাখুর এর পোলা তো গাজা খাইব,disgust
এইডা তো আস্ত শয়তান থুথু বাবার চে য়ে ও খারাপ,disgust
অনেক সুন্দর হয়েছে অাপনাকে অনেক ধন্যবাদ এরকম একটা অনুষ্টান উপহার দেওয়ার জন্য,joy
ওমানে কত মানুষ বেকার আচে বলে শেষ জাবেনা,sadness
বাউতা বাজি প্রথম আলো নিউজ আর পায় না শালারা,anger
  এর ভিডিওর জন্য আমার মতো আর কে কে অপেক্ষা করে থাকেন  হিট লাইক বাটন  বাংলাদেশ থেকে অগণিত ভালোবাসা রইলো,joy
তগো মনে কতো প্রেম রে জীবনে একটা করছি তাতেই জলে পুরে সেস,disgust
ভাইয়া সত্যি খুবি ভাল্লাগছে      ভিডিও টা দেখে আমি আপনার চ্যানেল টি  করলাম       প্লিজ বন্ধুরা আপনারা সবাই আমার চ্যানেল টি  করেন,joy
রোহিঙ্গাদের বরণ করুন সেবাই পরম ধর্ম,joy
কিন্তু তা দূর করার পথ সে খোজেনা,disgust
প্রাণ খুলে হাঁসতে চাইলে ঘুরে আসুন আমাদের কপি মুক্ত ট্রল পোষ্ট যুক্ত উস্তাদ জ্বি পেজ থেকে  চরম ফানি পেজ কিন্তু,joy
আর আইএস তৈরি করার জন্য দেয়া হল বারাক ওবামাকে ,disgust
সাকিব ভাইয়ের মত বড় ভাই সমাজের দরকার যে ছোটদের উৎসাহ দেয়  ,joy
বলা উচিৎ ছিল আরাকানে হচ্ছেটা কি তা না বলে পশ্চিমাদের পদলেহন ছি প্রথমআলো ,disgust
ইয়া আল্লাহু আপনি এই রোহিঙ্গা ভাইবোনদের এই জালিমদের হাত থেকে রক্ষা করুন  আমিন,sadness
একদল মানুষকে আপনি সব কিছু উজাড় করে দিয়েও খুশি করতে পারবেন না ,sadness
